Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,0,1,2,1355.0,0,2,1,1,win
1,0,0,0,1,1151.0,0,1,1,0,win
0,0,1,0,0,-474.0,0,0,0,0,lose
1,0,0,0,1,1162.0,0,1,1,0,win
1,0,0,0,1,1111.0,0,1,1,0,win
1,0,0,0,1,1129.0,0,1,1,0,win
0,0,0,1,1,1128.0,0,1,0,1,win
0,0,0,1,1,1135.0,0,1,0,1,win
0,0,1,0,0,-409.0,0,0,0,0,lose
0,0,0,1,1,1100.0,0,1,0,1,win
1,0,0,0,1,1137.0,0,1,1,0,win
1,0,0,0,1,1150.0,0,1,1,0,win
0,0,0,1,1,1131.0,0,1,0,1,win
0,0,1,0,0,933.0,0,0,0,0,win
0,0,0,1,1,1116.0,0,1,0,1,win
0,0,0,0,0,-180.0,0,0,0,0,timeout
1,0,0,0,1,1140.0,0,1,1,0,win
1,0,1,1,2,420.0,0,2,1,1,timeout
0,0,0,1,1,1130.0,0,1,0,1,win
1,0,0,0,1,1117.0,0,1,1,0,win
1,0,0,0,1,1166.0,0,1,1,0,win
0,0,0,1,1,1147.0,0,1,0,1,win
0,0,1,0,0,-420.0,0,0,0,0,lose
1,0,0,1,2,1345.0,0,2,1,1,win
0,0,0,1,1,1165.0,0,1,0,1,win
1,0,0,0,1,1146.0,0,1,1,0,win
0,0,0,1,1,1146.0,0,1,0,1,win
0,0,1,0,0,-440.0,0,0,0,0,lose
0,0,1,0,0,-460.0,0,0,0,0,lose
0,0,0,1,1,1165.0,0,1,0,1,win
0,0,0,1,1,1141.0,0,1,0,1,win
