Number,State,Value,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_EarlyBird,UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
47,COMPLETE,97.38550267409471,1900.5331165998227,165.15581538323843,0.0684,2.6122,1.3124,1.2997999999999998,1.3124,1.2997999999999998,2.0652,0.09419999999999999,1357.0248,0.901
48,COMPLETE,104.00078668523678,1962.9625907750258,464.19144649206305,0.0388,1.0754,0.5328,0.5426,0.5328,0.5426,1.754,0.1042,1021.8696,0.892
49,COMPLETE,103.24302746518106,1916.0902373930383,486.8596076632664,0.0466,1.0606,0.529,0.5316,0.529,0.5316,2.2496,0.11539999999999999,995.3768,0.8802
50,COMPLETE,103.31959381615599,2653.2786427900546,283.4313842862189,0.0372,1.4294,0.7123999999999999,0.717,0.7123999999999999,0.717,1.7012,0.1034,1100.5034,0.8944000000000001
51,COMPLETE,33.35795793871867,62.39063865444626,81.20076806063358,0.692,3.3134,1.668,1.6454,1.668,1.6454,1.9937999999999998,0.0958,1510.417,0.9042
52,COMPLETE,102.49178501392758,4662.175141342285,307.6376446533214,0.0496,1.2518,0.6206,0.6312,0.6206,0.6312,1.8572,0.1162,1043.4066,0.8821999999999999
53,COMPLETE,92.67783342618385,2550.715597745439,714.4686095103424,0.15760000000000002,0.7392000000000001,0.3852,0.354,0.3852,0.354,12.6416,0.2352,513.071,0.5112
54,COMPLETE,105.16997370473537,4121.917144635346,481.30992623904626,0.027000000000000003,1.0756000000000001,0.5511999999999999,0.5244,0.5511999999999999,0.5244,2.154,0.11939999999999999,1003.3578,0.8747999999999999
55,COMPLETE,100.68274735376045,4353.091551322538,224.61208289336,0.048799999999999996,2.0534,1.0312,1.0222,1.0312,1.0222,1.5646,0.0884,1249.764,0.9112
56,COMPLETE,104.54249348189416,1893.131509559108,521.2227875117012,0.033600000000000005,1.0644,0.524,0.5404,0.524,0.5404,1.9487999999999999,0.10940000000000001,1011.4708,0.8855999999999999
57,COMPLETE,104.88050111420613,2703.3976217884847,483.6849852574417,0.03,1.0742,0.5444,0.5298,0.5444,0.5298,1.8938,0.1066,1015.972,0.8874000000000001
58,COMPLETE,104.99233459610028,4735.164111648254,528.2632583748767,0.029199999999999997,1.06,0.526,0.534,0.526,0.534,1.7942,0.1152,1009.3906000000001,0.8817999999999999
59,COMPLETE,78.85947169916435,3619.2332996234954,1055.9726415039747,0.30720000000000003,0.1406,0.0716,0.06899999999999999,0.0716,0.06899999999999999,31.136200000000002,0.30979999999999996,-123.9058,0.0294
60,COMPLETE,91.63983309192201,3830.192798073345,853.5901463480573,0.1702,0.6172,0.31,0.30720000000000003,0.31,0.30720000000000003,15.925,0.22559999999999997,364.0854,0.3752
61,COMPLETE,103.93874289693593,4856.479053676657,649.2386106621601,0.0396,1.0518,0.5436,0.5082,0.5436,0.5082,2.449,0.142,948.1959999999999,0.8474
62,COMPLETE,104.83424367688022,3993.118901771705,528.8902673257315,0.030199999999999998,1.0772,0.5388,0.5384,0.5388,0.5384,2.2596,0.1272,982.3023999999999,0.8644000000000001
63,COMPLETE,102.46508261838441,2385.513298853756,679.1530413277085,0.0548,1.0222,0.5246000000000001,0.4976,0.5246000000000001,0.4976,3.4787999999999997,0.157,898.5458000000001,0.8202
64,COMPLETE,104.21623966573816,4932.152831985685,761.3130363783896,0.0372,1.0168,0.5248,0.492,0.5248,0.492,3.7512,0.184,858.4402,0.782
65,COMPLETE,74.87651448467966,1602.6792411986494,2455.957181616913,0.3496,0.033,0.0194,0.013600000000000001,0.0194,0.013600000000000001,29.5394,0.30720000000000003,-145.369,0.0
66,COMPLETE,104.28863637883008,2139.650376519904,392.3870227471646,0.034999999999999996,1.1082,0.5559999999999999,0.5522,0.5559999999999999,0.5522,2.2154,0.11779999999999999,1003.6497999999999,0.8768
67,COMPLETE,104.17735598885794,2345.460893423075,337.42587277962303,0.034999999999999996,1.16,0.5894,0.5706,0.5894,0.5706,1.8681999999999999,0.10200000000000001,1036.354,0.8901999999999999
68,COMPLETE,102.73350373259053,2467.6137063325805,682.9453792587112,0.0522,1.0131999999999999,0.5065999999999999,0.5065999999999999,0.5065999999999999,0.5065999999999999,4.071,0.1638,873.2742000000001,0.7986
69,COMPLETE,104.10074568245125,1973.5209573513869,370.57333107896744,0.0364,1.1346,0.576,0.5586,0.576,0.5586,1.7571999999999999,0.1062,1036.156,0.8922000000000001
70,COMPLETE,78.71859108635097,1563.5300894674053,797.2318760242586,0.3084,0.1628,0.08499999999999999,0.07780000000000001,0.08499999999999999,0.07780000000000001,27.373399999999997,0.3202,-61.763999999999996,0.06899999999999999
71,COMPLETE,105.22324584958217,4756.018187170511,508.87874875011266,0.026600000000000002,1.0657999999999999,0.5398,0.526,0.5398,0.526,2.0944,0.1196,983.2038,0.874
72,COMPLETE,81.30585704735377,1570.9523408642342,696.2573265503332,0.2824,0.1752,0.0838,0.09140000000000001,0.0838,0.09140000000000001,26.683999999999997,0.2882,-28.9766,0.0912
73,COMPLETE,85.70756506963788,696.271983741966,568.1644673503354,0.2292,0.673,0.3366,0.3364,0.3366,0.3364,10.7308,0.21960000000000002,556.5668,0.5362
74,COMPLETE,104.55482774373259,4784.890542156637,502.43007650431616,0.0332,1.0652,0.5332,0.532,0.5332,0.532,2.4864,0.133,965.4008,0.8555999999999999
75,COMPLETE,82.61840189415042,4688.514002785755,1021.8585563976628,0.266,0.3144,0.1618,0.1526,0.1618,0.1526,25.224,0.3056,7.9014,0.0972
76,COMPLETE,102.94810378830084,2290.6407916293665,461.9262190240341,0.048799999999999996,1.0914,0.5432,0.5482,0.5432,0.5482,2.1109999999999998,0.1224,999.1038000000001,0.8702
77,COMPLETE,10.438214038997216,66.23582244159732,2974.5758633981463,1.0002,0.0048000000000000004,0.0026,0.0021999999999999997,0.0026,0.0021999999999999997,1.5402,0.1038,844.0342,0.8960000000000001
78,COMPLETE,103.89690679665739,2035.0754503413848,483.0881052883802,0.0396,1.0762,0.5564,0.5198,0.5564,0.5198,2.5238,0.1306,982.5952,0.8630000000000001
79,COMPLETE,104.26318568245125,4940.865287359076,454.7673240054161,0.0364,1.0630000000000002,0.5132,0.5498000000000001,0.5132,0.5498000000000001,1.7937999999999998,0.11699999999999999,1006.4308000000001,0.8795999999999999
80,COMPLETE,102.88091465181058,4920.688522438362,403.0872338664529,0.048799999999999996,1.1119999999999999,0.5650000000000001,0.5469999999999999,0.5650000000000001,0.5469999999999999,2.862,0.1384,970.9418,0.8555999999999999
81,COMPLETE,74.41805571030642,2910.4812620963216,1323.1613466312463,0.3514,0.14079999999999998,0.06820000000000001,0.0726,0.06820000000000001,0.0726,31.407600000000002,0.3532,-161.45,0.0
82,COMPLETE,102.65684896935933,3104.5565602154015,638.8831892465898,0.0528,1.0306,0.5347999999999999,0.4958,0.5347999999999999,0.4958,3.2704,0.153,921.4613999999999,0.8272
83,COMPLETE,88.3846363788301,4774.235737950221,918.3587420451871,0.20179999999999998,0.631,0.3126,0.3184,0.3126,0.3184,19.0286,0.305,255.13479999999998,0.298
84,COMPLETE,104.04579520891365,3227.34193556535,322.68914526118124,0.0342,1.2476,0.6324,0.6152,0.6324,0.6152,1.7172,0.11240000000000001,1049.7074,0.8844
85,COMPLETE,103.73866479108635,3843.1581847822476,484.27523533109365,0.0412,1.0746,0.541,0.5336000000000001,0.541,0.5336000000000001,2.4486,0.136,978.5708000000001,0.8615999999999999
86,COMPLETE,104.70662924791085,4517.871565051831,430.14408858681674,0.0312,1.0917999999999999,0.553,0.5388,0.553,0.5388,2.1396,0.1214,998.2520000000001,0.8752000000000001
87,COMPLETE,103.71191091922006,4475.891262945319,478.744254968833,0.0418,1.0634000000000001,0.5216000000000001,0.5418000000000001,0.5216000000000001,0.5418000000000001,2.316,0.1214,987.9876,0.8747999999999999
88,COMPLETE,104.2756192200557,4275.006697292884,450.77641218191184,0.0356,1.0917999999999999,0.5432,0.5486,0.5432,0.5486,1.7884,0.11339999999999999,1014.3889999999999,0.8837999999999999
89,COMPLETE,104.11145766016713,4857.279014641788,412.04218405489513,0.0368,1.1014,0.5576,0.5438,0.5576,0.5438,2.534,0.1332,978.199,0.8615999999999999
90,COMPLETE,97.15804924791085,4711.273943889686,851.9010425781845,0.11180000000000001,0.798,0.40519999999999995,0.3928,0.40519999999999995,0.3928,10.5218,0.2178,597.8234,0.5864
91,COMPLETE,104.59258835654596,4700.4320198116275,476.6128541139302,0.033,1.0666,0.5312,0.5354,0.5312,0.5354,2.2206,0.1092,1003.5636000000001,0.8865999999999999
92,COMPLETE,102.20252774373259,4984.914290209845,769.8957944600369,0.0578,0.9962,0.4894,0.5067999999999999,0.4894,0.5067999999999999,4.0168,0.1736,849.0848,0.775
93,COMPLETE,102.96382830083564,4090.0650443682903,251.8390249989838,0.0318,1.8072,0.9258,0.8814,0.9258,0.8814,1.7792000000000001,0.0994,1187.9818,0.8997999999999999
94,COMPLETE,95.81525821727021,2393.478774068296,726.3563585162979,0.1256,0.7838,0.3964,0.3874,0.3964,0.3874,10.1394,0.21339999999999998,600.891,0.5668
95,COMPLETE,105.34540824512536,4719.7584507181455,714.172186332458,0.0258,1.0408,0.5302,0.5105999999999999,0.5302,0.5105999999999999,2.4981999999999998,0.1322,946.6977999999999,0.8436
96,COMPLETE,102.5437104735376,1553.944466409774,301.3376381719167,0.0474,1.3242,0.6679999999999999,0.6562,0.6679999999999999,0.6562,1.9260000000000002,0.11479999999999999,1066.6078,0.8836
97,COMPLETE,104.12700027855153,2116.056632453452,588.9152901443614,0.038400000000000004,1.0278,0.5128,0.515,0.5128,0.515,2.6614,0.1328,963.018,0.8583999999999999
98,COMPLETE,46.31522495821727,484.0588901243603,1405.6223746146236,0.6382,0.0068000000000000005,0.0034000000000000002,0.0034000000000000002,0.0034000000000000002,0.0034000000000000002,15.8238,0.21459999999999999,273.2438,0.3572
99,COMPLETE,99.04692022284122,4964.131571123297,244.2325531902223,0.0706,1.8212,0.9401999999999999,0.881,0.9401999999999999,0.881,1.8638000000000001,0.10200000000000001,1184.5567999999998,0.8949999999999999
