Number,State,Value,Param dfa_EarlyBirdDFA1,UserAttribute norm_EarlyBird,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
40,COMPLETE,10.09799721448468,2619.627658090025,0.0708,1.8050000000000002,1.8072,3.7692,0.16399999999999998,1446.7649999999999,0.8321999999999999
41,COMPLETE,10.176964791086352,4560.723465204931,0.063,1.8366,1.8218,3.7241999999999997,0.1724,1448.5018,0.8253999999999999
42,COMPLETE,10.125321671309193,4753.719326069238,0.0668,1.795,1.8079999999999998,4.1732,0.1794,1424.0124,0.8198000000000001
43,COMPLETE,9.930727353760446,4869.197152122438,0.0846,1.783,1.7666,4.6293999999999995,0.2004,1394.2256,0.799
44,COMPLETE,10.28913704735376,4752.938309899686,0.0514,1.8155999999999999,1.8232,3.8497999999999997,0.1694,1441.6309999999999,0.8288
45,COMPLETE,10.125783732590529,2470.003652375513,0.0666,1.8072,1.7986,4.2143999999999995,0.18480000000000002,1421.2518,0.8135999999999999
46,COMPLETE,10.163214930362116,2027.4573832075687,0.0634,1.7846,1.7866,4.0024,0.1712,1431.0008,0.8256
47,COMPLETE,10.129261058495823,2066.5556429884628,0.0658,1.7803999999999998,1.7614,4.2272,0.182,1413.1336,0.8172
48,COMPLETE,10.192019610027856,2362.657317095743,0.059,1.7788,1.7675999999999998,4.6562,0.18480000000000002,1403.7252,0.8131999999999999
49,COMPLETE,10.145601114206126,1483.724150718932,0.06520000000000001,1.784,1.7872,3.9204,0.1708,1431.694,0.8268000000000001
50,COMPLETE,9.996672089136489,3059.874435973364,0.08120000000000001,1.8059999999999998,1.8114000000000001,3.6426000000000003,0.16060000000000002,1451.5664000000002,0.8382
51,COMPLETE,10.202014150417828,2918.3560513194443,0.0606,1.8194,1.8234000000000001,3.6338,0.1672,1450.3854,0.8316000000000001
52,COMPLETE,9.861153203342617,993.6007698986344,0.0938,1.7944,1.7844000000000002,3.9384,0.1774,1434.48,0.8224
53,COMPLETE,10.373429303621169,4964.295043222002,0.0432,1.8175999999999999,1.8219999999999998,3.7468000000000004,0.1682,1445.7456,0.8308
54,COMPLETE,10.084097270194986,1668.0926410104664,0.07139999999999999,1.7975999999999999,1.7748000000000002,4.233,0.1726,1432.5846,0.8266
55,COMPLETE,10.318207242339833,2254.9171297795406,0.0474,1.8074000000000001,1.8,4.2584,0.185,1422.0120000000002,0.8134
56,COMPLETE,10.151523899721449,1986.877540151525,0.0648,1.7892,1.7788,3.9078000000000004,0.1664,1435.1453999999999,0.8316000000000001
57,COMPLETE,10.13915754874652,1941.5485172865272,0.0658,1.7850000000000001,1.7904,3.8944,0.1694,1430.8978,0.8286
58,COMPLETE,3.836216601671309,62.39025538547404,0.6996,1.8302,1.8452000000000002,3.243,0.155,1493.8288,0.845
59,COMPLETE,10.381928467966574,2580.3029380310945,0.0436,1.8296,1.8154,3.2037999999999998,0.1548,1468.1816000000001,0.8444
60,COMPLETE,9.965817493036212,1351.5907193902324,0.0834,1.7782,1.7642,3.9148000000000005,0.1626,1435.6724,0.8366
61,COMPLETE,9.957876545961003,4063.115033028466,0.08499999999999999,1.7957999999999998,1.823,3.7582,0.16519999999999999,1450.1384,0.8337999999999999
62,COMPLETE,10.447140389972144,4682.101241771894,0.036199999999999996,1.8108,1.8038,3.5058,0.15860000000000002,1452.407,0.8406
63,COMPLETE,10.389812479108635,4705.132759865861,0.041999999999999996,1.8294000000000001,1.8328,3.4781999999999997,0.1612,1453.6134,0.8375999999999999
64,COMPLETE,9.98603008356546,4875.432426389242,0.0824,1.8161999999999998,1.8104,3.4997999999999996,0.1588,1454.0040000000001,0.8408
65,COMPLETE,10.47892913649025,4682.562393710056,0.0328,1.8228000000000002,1.8142,3.6866,0.1666,1448.4378000000002,0.8324
66,COMPLETE,9.861528579387187,2360.4785501333813,0.0938,1.78,1.7893999999999999,3.7283999999999997,0.1724,1435.1538,0.8256
67,COMPLETE,10.360889582172703,2263.102452307336,0.0438,1.7963999999999998,1.7878,3.9546,0.16519999999999999,1434.0067999999999,0.8300000000000001
68,COMPLETE,10.23683844011142,2502.4124112536992,0.05620000000000001,1.7982,1.7802,3.662,0.1668,1433.915,0.8314
69,COMPLETE,10.30043086350975,4748.472999164617,0.047599999999999996,1.7658,1.7835999999999999,4.3758,0.1938,1393.6933999999999,0.8058
70,COMPLETE,10.449502729805014,4228.179510515635,0.0346,1.7957999999999998,1.7774,3.7668,0.172,1427.9274,0.827
71,COMPLETE,10.506965236768803,4927.569082952659,0.0288,1.8192,1.8015999999999999,3.8786,0.18,1426.9626,0.8194000000000001
72,COMPLETE,10.042257715877437,1256.0076541523742,0.0742,1.7617999999999998,1.7312,4.0662,0.1734,1407.7426,0.8206
73,COMPLETE,10.253207576601671,2209.380954289723,0.0536,1.7866,1.7734,4.2326,0.1782,1416.6276,0.819
74,COMPLETE,10.295615933147634,2379.404324190482,0.0504,1.8122,1.8006,3.9665999999999997,0.174,1435.3106,0.8238
75,COMPLETE,10.043086239554318,1265.9765305137496,0.0744,1.7716,1.7726,4.3884,0.1842,1412.8198,0.8150000000000001
76,COMPLETE,10.283083119777158,2418.9201225236147,0.0512,1.8039999999999998,1.7884,3.7672,0.1754,1427.1742,0.8221999999999999
77,COMPLETE,10.279358440111421,2564.258298353655,0.0514,1.7864,1.7818,4.1532,0.1752,1424.0783999999999,0.8224
78,COMPLETE,10.302990083565458,2656.812441005369,0.0492,1.7596,1.7882000000000002,3.8536,0.1722,1427.0072,0.8278000000000001
79,COMPLETE,10.194574484679666,4905.85602400546,0.0612,1.7963999999999998,1.7963999999999998,3.588,0.16,1447.8012,0.8398
80,COMPLETE,10.174938941504179,4312.103008906249,0.0628,1.7962,1.7890000000000001,3.7778,0.16499999999999998,1441.2754,0.8348000000000001
81,COMPLETE,10.421955766016714,4621.528635101513,0.0388,1.811,1.8212,3.5026,0.16060000000000002,1453.8706,0.8388
82,COMPLETE,10.235288690807801,4344.809868159415,0.055600000000000004,1.8262,1.8059999999999998,4.2786,0.186,1420.3632,0.8128
83,COMPLETE,10.460652924791088,4564.743613774759,0.0344,1.8,1.8084,3.5942,0.1656,1444.352,0.8342
