Number,State,Value,Param dfa_CTDBlueDFA,Param dfa_EarlyBirdDFA1,Param dfa_VegBlueDFA,UserAttribute norm_CTD,UserAttribute norm_EarlyBird,UserAttribute norm_Penalty1(total),UserAttribute norm_Vegan,UserAttribute norm_VegetarianBlue,UserAttribute norm_VegetarianOrange,UserAttribute pm_eaten_blue,UserAttribute pm_eaten_red,UserAttribute pm_left_food,UserAttribute pm_lost,UserAttribute pm_score,UserAttribute pm_won
63,COMPLETE,1034.6748231754875,4668.287888594646,915.7323931535319,68.22596546809868,0.011,0.06860000000000001,2.8794,2.8684000000000003,1.4372,1.4312,1.4372,1.4312,3.6896,0.1682,1293.8776,0.829
64,COMPLETE,430.4468112534818,674.7251823223299,77.47554151505706,59.27142229527954,0.023,0.673,2.715,2.692,1.3641999999999999,1.3278,1.3641999999999999,1.3278,2.5512,0.1172,1349.5012000000002,0.8827999999999999
65,COMPLETE,1059.9907062952645,363.9671789567956,1394.8882343963417,59.30665787203014,0.013600000000000001,0.041999999999999996,3.3868,3.3731999999999998,1.6814,1.6918,1.6814,1.6918,3.7028,0.1888,1370.8528000000001,0.8093999999999999
66,COMPLETE,1067.0434558217269,2173.438983206069,4652.222622236124,81.7502052407272,0.0108,0.035199999999999995,3.3112000000000004,3.3004,1.6608,1.6396000000000002,1.6608,1.6396000000000002,3.4934,0.1752,1372.1982,0.8244
67,COMPLETE,326.7691647353761,3720.763713536805,92.11520763695053,53.03903353817802,0.0016,0.7806,1.2710000000000001,1.2694,0.635,0.6344000000000001,0.635,0.6344000000000001,2.6597999999999997,0.14079999999999998,1045.8832,0.8592000000000001
68,COMPLETE,1068.4245700835654,1499.649192769059,2434.6338941913086,57.38736213298534,0.0048000000000000004,0.033800000000000004,3.3798000000000004,3.375,1.685,1.69,1.685,1.69,3.3842,0.1592,1403.8157999999999,0.8390000000000001
69,COMPLETE,1067.3394647353762,318.2120285797719,4352.7287076229195,145.98006946790497,0.0078,0.0366,2.6486,2.6408,1.329,1.3118,1.329,1.3118,2.2396000000000003,0.1212,1321.9542,0.8782
70,COMPLETE,1068.6356687465181,293.40691025348025,3156.047989997157,127.03567860576312,0.0124,0.0346,2.9008,2.8884,1.4506000000000001,1.4378,1.4506000000000001,1.4378,2.252,0.11699999999999999,1376.1704,0.883
71,COMPLETE,787.1827781615599,105.43664657300296,4954.019469903154,2446.664808575649,0.0092,0.3224,0.0456,0.0364,0.0172,0.019200000000000002,0.0172,0.019200000000000002,32.4126,0.30619999999999997,-172.7182,0.0
72,COMPLETE,1082.0772262952646,806.9335974146014,3067.2038106118816,426.1333673762767,0.0066,0.0256,1.0946,1.088,0.5368,0.5511999999999999,0.5368,0.5511999999999999,2.1546,0.11399999999999999,1009.1962,0.8834
73,COMPLETE,110.34803721448468,1204.0356451726414,161.15842905496865,1431.6643839724175,0.004200000000000001,1.0,0.011,0.0068000000000000005,0.003,0.0038,0.003,0.0038,1.6751999999999998,0.1032,843.7167999999999,0.8964000000000001
74,COMPLETE,1066.9948688022284,255.40091331231451,4875.414515275994,333.5827873508556,0.0082,0.040400000000000005,1.1907999999999999,1.1826,0.5818,0.6008,0.5818,0.6008,2.3693999999999997,0.1278,998.682,0.8688
75,COMPLETE,116.3309426740947,827.4948250898371,116.96808975962335,311.7745997026014,0.0026,0.9938,0.1212,0.1186,0.0618,0.056799999999999996,0.0618,0.056799999999999996,1.264,0.0866,883.9345999999999,0.9132
76,COMPLETE,1062.6423489136491,3963.2346630523293,3554.376268941686,122.85983592010909,0.012,0.040400000000000005,2.975,2.963,1.5046,1.4584,1.5046,1.4584,2.7874,0.146,1345.9788,0.8534
77,COMPLETE,1063.3992947075208,155.0999622047286,4854.526644672703,199.5060782630843,0.0144,0.0416,2.148,2.1336,1.0712,1.0624,1.0712,1.0624,1.7826,0.10500000000000001,1244.464,0.893
78,COMPLETE,1067.2197438997214,579.4275256788017,4403.913075096539,119.28765747163747,0.0066,0.0358,3.0416,3.035,1.5272000000000001,1.5078,1.5272000000000001,1.5078,2.4335999999999998,0.13140000000000002,1386.1778,0.8684
79,COMPLETE,1062.3401291922005,719.1507743651503,4825.4916921329595,315.9029183422291,0.0052,0.045,1.2369999999999999,1.2318,0.6112,0.6206,0.6112,0.6206,2.7282,0.1446,986.5844,0.8492000000000001
80,COMPLETE,1051.692366908078,950.3848801074179,1946.6716493065032,130.2868557473251,0.002,0.052000000000000005,2.8116,2.8096,1.4112,1.3984,1.4112,1.3984,2.0170000000000003,0.1068,1375.6286,0.8916000000000001
81,COMPLETE,1075.818482172702,394.3114792320707,4650.29535754664,147.1796425607351,0.0112,0.027600000000000003,2.8278,2.8166,1.3968,1.4198,1.3968,1.4198,2.445,0.141,1328.268,0.8587999999999999
82,COMPLETE,1072.4099917548747,746.1327118077513,3410.850184029647,320.0785816349687,0.0032,0.034999999999999996,1.2404,1.2372,0.6224000000000001,0.6148,0.6224000000000001,0.6148,1.7322,0.11220000000000001,1046.4702,0.8859999999999999
83,COMPLETE,1071.4780959331476,1013.319178767922,4671.454005409035,145.69370702085473,0.0058000000000000005,0.0322,2.7722,2.7664,1.3912,1.3752,1.3912,1.3752,2.4888000000000003,0.1342,1326.6772,0.8657999999999999
