Blue Eaten,EarlyBird,Orange Eaten,Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
1,0,1,190.0,0,2,1,1,lose
1,0,1,270.0,0,2,1,1,lose
0,0,1,1104.0,0,1,0,1,win
0,0,1,1134.0,0,1,0,1,win
0,0,1,1044.0,0,1,0,1,win
1,0,0,-1.0,0,1,1,0,lose
0,0,1,1154.0,0,1,0,1,win
1,0,0,1113.0,0,1,1,0,win
0,0,1,1144.0,0,1,0,1,win
1,0,1,1267.0,0,2,1,1,win
0,0,1,1149.0,0,1,0,1,win
0,0,1,1119.0,0,1,0,1,win
0,0,1,1131.0,0,1,0,1,win
1,0,0,1104.0,0,1,1,0,win
0,0,1,1159.0,0,1,0,1,win
1,0,0,1123.0,0,1,1,0,win
0,0,1,1039.0,0,1,0,1,win
0,0,1,1099.0,0,1,0,1,win
1,0,0,1142.0,0,1,1,0,win
0,0,1,34.0,0,1,0,1,lose
0,0,1,1060.0,0,1,0,1,win
0,0,1,1118.0,0,1,0,1,win
1,0,0,1158.0,0,1,1,0,win
0,0,1,1149.0,0,1,0,1,win
1,0,0,1116.0,0,1,1,0,win
0,0,1,1136.0,0,1,0,1,win
1,0,0,1093.0,0,1,1,0,win
0,0,1,1146.0,0,1,0,1,win
1,0,0,1136.0,0,1,1,0,win
1,0,0,1147.0,0,1,1,0,win
0,0,1,-191.0,0,1,0,1,lose
1,0,0,1053.0,0,1,1,0,win
0,0,1,1104.0,0,1,0,1,win
0,1,0,850.0,0,0,0,0,win
0,0,1,1154.0,0,1,0,1,win
1,0,0,1154.0,0,1,1,0,win
1,0,0,-16.0,0,1,1,0,lose
0,0,1,1057.0,0,1,0,1,win
0,0,1,1160.0,0,1,0,1,win
0,1,0,870.0,0,0,0,0,win
1,0,0,1104.0,0,1,1,0,win
0,0,1,130.0,0,1,0,1,lose
0,0,1,-166.0,0,1,0,1,lose
1,0,0,1013.0,0,1,1,0,win
1,0,0,1130.0,0,1,1,0,win
1,0,0,1109.0,0,1,1,0,win
0,0,1,1148.0,0,1,0,1,win
0,0,1,1133.0,0,1,0,1,win
0,0,1,1063.0,0,1,0,1,win
0,0,1,1160.0,0,1,0,1,win
1,0,0,1149.0,0,1,1,0,win
0,0,1,1101.0,0,1,0,1,win
0,0,1,140.0,0,1,0,1,lose
1,0,0,-79.0,0,1,1,0,lose
1,0,0,-221.0,0,1,1,0,lose
0,0,1,1065.0,0,1,0,1,win
0,0,1,1129.0,0,1,0,1,win
0,0,1,1118.0,0,1,0,1,win
1,0,0,1173.0,0,1,1,0,win
0,0,1,1092.0,0,1,0,1,win
0,0,1,1163.0,0,1,0,1,win
1,0,1,1310.0,0,2,1,1,win
0,0,1,1150.0,0,1,0,1,win
0,0,1,1127.0,0,1,0,1,win
1,0,0,1088.0,0,1,1,0,win
0,0,1,1103.0,0,1,0,1,win
0,0,1,1098.0,0,1,0,1,win
0,0,1,1162.0,0,1,0,1,win
0,0,1,1089.0,0,1,0,1,win
0,0,1,39.0,0,1,0,1,lose
0,0,1,1117.0,0,1,0,1,win
0,0,1,1156.0,0,1,0,1,win
0,0,1,1109.0,0,1,0,1,win
1,0,0,1122.0,0,1,1,0,win
1,0,0,1137.0,0,1,1,0,win
1,0,1,1331.0,0,2,1,1,win
1,0,0,1150.0,0,1,1,0,win
1,0,0,1116.0,0,1,1,0,win
0,0,1,1142.0,0,1,0,1,win
1,0,0,1102.0,0,1,1,0,win
1,1,0,430.0,0,1,1,0,timeout
1,0,0,1104.0,0,1,1,0,win
1,0,0,1156.0,0,1,1,0,win
1,0,0,1153.0,0,1,1,0,win
1,0,0,1067.0,0,1,1,0,win
0,0,1,1071.0,0,1,0,1,win
