Blue Eaten,CTD,EarlyBird,Orange Eaten,Penalty1(total),Score,Seed,Vegan,VegetarianBlue,VegetarianOrange,Win/Lose
0,0,0,1,1,130.0,0,1,0,1,lose
0,0,0,1,1,1123.0,0,1,0,1,win
1,0,0,0,1,1103.0,0,1,1,0,win
0,0,0,1,1,1049.0,0,1,0,1,win
0,0,0,1,1,1140.0,0,1,0,1,win
0,0,0,1,1,1086.0,0,1,0,1,win
1,0,0,1,2,1295.0,0,2,1,1,win
0,0,0,1,1,1079.0,0,1,0,1,win
0,0,0,1,1,1127.0,0,1,0,1,win
0,0,0,1,1,1082.0,0,1,0,1,win
0,0,0,1,1,1132.0,0,1,0,1,win
1,0,0,0,1,35.0,0,1,1,0,lose
1,0,0,1,2,-62.0,0,2,1,1,lose
1,0,0,1,2,1271.0,0,2,1,1,win
1,0,0,0,1,1091.0,0,1,1,0,win
1,0,0,0,1,1107.0,0,1,1,0,win
1,0,0,0,1,1101.0,0,1,1,0,win
1,0,0,1,2,1297.0,0,2,1,1,win
0,0,0,1,1,1104.0,0,1,0,1,win
1,0,0,1,2,1262.0,0,2,1,1,win
1,0,0,0,1,1135.0,0,1,1,0,win
0,0,0,1,1,1096.0,0,1,0,1,win
0,0,0,1,1,83.0,0,1,0,1,lose
0,0,0,1,1,1068.0,0,1,0,1,win
0,0,0,1,1,1078.0,0,1,0,1,win
1,0,0,0,1,1137.0,0,1,1,0,win
0,0,0,1,1,5.0,0,1,0,1,lose
0,0,0,1,1,1105.0,0,1,0,1,win
1,0,0,0,1,1144.0,0,1,1,0,win
1,0,0,0,1,1140.0,0,1,1,0,win
1,0,0,0,1,1151.0,0,1,1,0,win
1,0,0,0,1,1081.0,0,1,1,0,win
0,0,1,0,0,863.0,0,0,0,0,win
0,0,0,1,1,1093.0,0,1,0,1,win
1,0,0,1,2,1297.0,0,2,1,1,win
0,0,0,1,1,440.0,0,1,0,1,timeout
1,0,0,0,1,1158.0,0,1,1,0,win
1,0,0,0,1,1142.0,0,1,1,0,win
1,0,0,1,2,1332.0,0,2,1,1,win
0,0,0,1,1,1152.0,0,1,0,1,win
0,0,0,1,1,1030.0,0,1,0,1,win
0,0,0,1,1,1108.0,0,1,0,1,win
0,0,0,1,1,1108.0,0,1,0,1,win
1,0,0,1,2,1338.0,0,2,1,1,win
1,0,0,0,1,1141.0,0,1,1,0,win
1,0,0,0,1,1108.0,0,1,1,0,win
0,0,1,0,0,817.0,0,0,0,0,win
1,0,0,0,1,1041.0,0,1,1,0,win
1,0,0,0,1,1038.0,0,1,1,0,win
1,0,0,0,1,1109.0,0,1,1,0,win
0,0,0,1,1,1115.0,0,1,0,1,win
1,0,0,0,1,1136.0,0,1,1,0,win
0,0,0,1,1,1073.0,0,1,0,1,win
0,0,0,1,1,1110.0,0,1,0,1,win
0,0,0,1,1,1153.0,0,1,0,1,win
1,0,0,0,1,1138.0,0,1,1,0,win
1,0,0,0,1,1072.0,0,1,1,0,win
0,0,0,1,1,41.0,0,1,0,1,lose
0,0,0,1,1,1134.0,0,1,0,1,win
0,0,0,1,1,1128.0,0,1,0,1,win
0,0,0,1,1,1114.0,0,1,0,1,win
1,0,0,0,1,1121.0,0,1,1,0,win
0,0,0,1,1,1124.0,0,1,0,1,win
0,0,1,0,0,-408.0,0,0,0,0,lose
1,0,0,0,1,1069.0,0,1,1,0,win
1,0,0,0,1,1123.0,0,1,1,0,win
1,0,0,0,1,1093.0,0,1,1,0,win
1,0,0,0,1,1161.0,0,1,1,0,win
0,0,0,1,1,1139.0,0,1,0,1,win
1,0,0,0,1,1068.0,0,1,1,0,win
0,0,0,1,1,1108.0,0,1,0,1,win
0,0,0,1,1,1114.0,0,1,0,1,win
1,0,0,0,1,1132.0,0,1,1,0,win
1,0,0,0,1,-273.0,0,1,1,0,lose
0,0,0,1,1,1134.0,0,1,0,1,win
0,0,0,1,1,1067.0,0,1,0,1,win
0,0,1,0,0,-436.0,0,0,0,0,lose
0,0,0,1,1,1125.0,0,1,0,1,win
1,0,0,0,1,1126.0,0,1,1,0,win
0,0,0,1,1,2.0,0,1,0,1,lose
1,0,0,0,1,1091.0,0,1,1,0,win
0,0,0,1,1,1148.0,0,1,0,1,win
1,0,0,1,2,1279.0,0,2,1,1,win
0,0,0,1,1,1126.0,0,1,0,1,win
1,0,0,0,1,1080.0,0,1,1,0,win
0,0,0,1,1,1157.0,0,1,0,1,win
1,0,0,0,1,1139.0,0,1,1,0,win
0,0,0,1,1,1088.0,0,1,0,1,win
1,0,0,0,1,1.0,0,1,1,0,lose
0,0,0,1,1,1095.0,0,1,0,1,win
1,0,0,0,1,1126.0,0,1,1,0,win
1,0,0,0,1,1151.0,0,1,1,0,win
1,0,0,0,1,1076.0,0,1,1,0,win
0,0,0,1,1,1128.0,0,1,0,1,win
0,0,0,1,1,1126.0,0,1,0,1,win
1,0,0,0,1,1107.0,0,1,1,0,win
1,0,0,0,1,1033.0,0,1,1,0,win
0,0,0,1,1,1138.0,0,1,0,1,win
0,0,0,1,1,122.0,0,1,0,1,lose
0,0,0,2,2,1312.0,0,2,0,2,win
1,0,0,0,1,1123.0,0,1,1,0,win
1,0,0,0,1,1139.0,0,1,1,0,win
0,0,0,1,1,1142.0,0,1,0,1,win
1,0,0,0,1,1119.0,0,1,1,0,win
1,0,0,2,3,1494.0,0,3,1,2,win
0,0,0,1,1,1117.0,0,1,0,1,win
1,0,0,0,1,1140.0,0,1,1,0,win
0,0,1,1,1,1088.0,0,1,0,1,win
1,0,0,0,1,1142.0,0,1,1,0,win
1,0,0,0,1,1116.0,0,1,1,0,win
1,0,0,0,1,1119.0,0,1,1,0,win
0,0,0,1,1,1076.0,0,1,0,1,win
1,0,0,0,1,23.0,0,1,1,0,lose
1,0,0,0,1,1158.0,0,1,1,0,win
0,0,0,2,2,1332.0,0,2,0,2,win
0,0,0,1,1,1085.0,0,1,0,1,win
0,0,0,1,1,1058.0,0,1,0,1,win
0,0,1,0,0,-428.0,0,0,0,0,lose
1,0,0,0,1,1146.0,0,1,1,0,win
1,0,0,0,1,1166.0,0,1,1,0,win
0,0,0,1,1,1142.0,0,1,0,1,win
1,0,0,0,1,1104.0,0,1,1,0,win
0,0,0,1,1,1155.0,0,1,0,1,win
1,0,0,1,2,1277.0,0,2,1,1,win
1,0,0,0,1,1136.0,0,1,1,0,win
0,0,0,2,2,1306.0,0,2,0,2,win
0,0,0,1,1,1112.0,0,1,0,1,win
0,0,0,0,0,-70.0,0,0,0,0,timeout
0,0,0,1,1,1150.0,0,1,0,1,win
1,0,0,0,1,1075.0,0,1,1,0,win
1,0,0,0,1,1154.0,0,1,1,0,win
0,0,0,1,1,-20.0,0,1,0,1,lose
1,0,0,0,1,1110.0,0,1,1,0,win
0,0,0,1,1,1114.0,0,1,0,1,win
1,0,0,0,1,1067.0,0,1,1,0,win
0,0,0,1,1,1153.0,0,1,0,1,win
1,0,0,0,1,1126.0,0,1,1,0,win
0,0,0,1,1,1152.0,0,1,0,1,win
0,0,0,1,1,1144.0,0,1,0,1,win
1,0,0,0,1,1088.0,0,1,1,0,win
1,0,0,0,1,1068.0,0,1,1,0,win
0,0,0,1,1,1158.0,0,1,0,1,win
0,0,0,1,1,1092.0,0,1,0,1,win
1,0,0,0,1,1125.0,0,1,1,0,win
1,0,0,0,1,1121.0,0,1,1,0,win
1,0,0,0,1,1083.0,0,1,1,0,win
1,0,0,0,1,1107.0,0,1,1,0,win
0,0,0,1,1,1095.0,0,1,0,1,win
0,0,1,0,0,-386.0,0,0,0,0,lose
1,0,0,1,2,303.0,0,2,1,1,lose
1,0,0,0,1,1133.0,0,1,1,0,win
1,0,0,0,1,70.0,0,1,1,0,lose
1,0,0,0,1,1127.0,0,1,1,0,win
1,0,0,0,1,1055.0,0,1,1,0,win
1,0,0,0,1,1110.0,0,1,1,0,win
0,0,0,1,1,1080.0,0,1,0,1,win
1,0,0,2,3,505.0,0,3,1,2,lose
0,0,0,1,1,96.0,0,1,0,1,lose
1,0,0,0,1,1065.0,0,1,1,0,win
1,0,0,0,1,1147.0,0,1,1,0,win
0,0,0,1,1,33.0,0,1,0,1,lose
0,0,0,1,1,1066.0,0,1,0,1,win
0,0,0,1,1,1051.0,0,1,0,1,win
1,0,0,0,1,1077.0,0,1,1,0,win
0,0,0,1,1,1109.0,0,1,0,1,win
1,0,0,1,2,1322.0,0,2,1,1,win
1,0,0,0,1,1124.0,0,1,1,0,win
0,0,0,1,1,1159.0,0,1,0,1,win
0,0,0,0,0,-10.0,0,0,0,0,timeout
0,0,0,1,1,1033.0,0,1,0,1,win
0,0,0,2,2,1325.0,0,2,0,2,win
0,0,0,1,1,102.0,0,1,0,1,lose
1,0,0,0,1,1102.0,0,1,1,0,win
1,0,0,0,1,1167.0,0,1,1,0,win
2,0,0,1,3,484.0,0,3,2,1,lose
0,0,0,2,2,1310.0,0,2,0,2,win
0,0,0,1,1,1100.0,0,1,0,1,win
0,0,0,1,1,1110.0,0,1,0,1,win
1,0,0,0,1,1047.0,0,1,1,0,win
1,0,0,1,2,1316.0,0,2,1,1,win
1,0,0,1,2,1306.0,0,2,1,1,win
1,0,0,0,1,1093.0,0,1,1,0,win
0,0,0,1,1,1130.0,0,1,0,1,win
0,0,0,1,1,1167.0,0,1,0,1,win
1,0,0,0,1,1114.0,0,1,1,0,win
0,0,0,1,1,1042.0,0,1,0,1,win
